Iteration		Cost		Counter		ValidateRate
--------------------------------------------------
500		-1029.519637		16.940000		50.000000
600		-1070.146729		19.440000		54.000000
700		-1057.508072		20.560000		50.000000
800		-1013.805281		19.480000		54.000000
900		-1012.623152		18.340000		68.000000
1000		-1081.378581		18.280000		58.000000
1100		-1071.237986		17.340000		60.000000
1200		-1071.270404		17.440000		60.000000
1300		-1150.630001		20.300000		56.000000
1400		-1046.915069		18.500000		70.000000
1500		-1100.939448		14.820000		78.000000
1600		-1086.797169		18.020000		58.000000
1700		-1163.853622		14.020000		74.000000
1800		-1067.455402		14.760000		66.000000
1900		-1017.502113		17.420000		62.000000
2000		-1077.935112		14.820000		54.000000
2100		-1071.285576		13.220000		70.000000
2200		-1080.962578		12.620000		78.000000
2300		-1053.021334		15.120000		70.000000
2400		-1075.520346		14.560000		76.000000
2500		-1167.225178		13.780000		66.000000
2600		-1011.231994		13.920000		72.000000
2700		-991.364084		12.180000		76.000000
2800		-1099.734929		12.340000		64.000000
2900		-1042.578968		14.800000		86.000000
3000		-1033.214842		9.680000		78.000000
3100		-1064.204582		11.740000		70.000000
3200		-1107.948907		9.400000		66.000000
3300		-1093.391067		10.940000		66.000000
3400		-1063.034129		11.760000		66.000000
3500		-1082.224058		14.140000		88.000000
3600		-1115.368959		9.860000		72.000000
3700		-1135.865825		12.940000		72.000000
3800		-1190.357087		13.300000		74.000000
3900		-1091.937034		11.140000		74.000000
4000		-1096.397904		11.340000		70.000000
4100		-1147.767829		11.180000		64.000000
4200		-1128.835935		12.480000		86.000000
4300		-1018.818766		9.320000		70.000000
4400		-1086.818073		11.440000		72.000000
4500		-1033.614973		12.620000		78.000000
4600		-1064.864040		12.040000		74.000000
4700		-1040.149613		9.000000		72.000000
4800		-1093.178754		9.900000		68.000000
4900		-1032.480399		11.260000		80.000000
5000		-1090.903836		10.260000		76.000000
5100		-1114.744741		13.660000		70.000000
5200		-1035.736234		9.200000		72.000000
5300		-977.673166		10.540000		52.000000
5400		-1111.966856		9.160000		58.000000
5500		-1053.568630		10.480000		64.000000
5600		-1072.471820		9.120000		70.000000
5700		-1114.674200		9.420000		64.000000
5800		-1189.314388		9.060000		72.000000
5900		-1143.266271		10.860000		74.000000
6000		-1075.148450		9.500000		78.000000
6100		-1049.064847		10.160000		72.000000
6200		-1091.804687		11.220000		72.000000
6300		-1085.355436		10.320000		80.000000
6400		-1155.427245		10.540000		66.000000
6500		-1058.721228		11.340000		78.000000
6600		-1148.041077		8.800000		76.000000
6700		-1035.015518		9.360000		70.000000
6800		-1064.858614		10.060000		78.000000
6900		-1077.431395		8.920000		72.000000
7000		-1048.337618		8.500000		76.000000
7100		-1042.599578		10.240000		76.000000
7200		-1049.138398		11.340000		72.000000
7300		-1063.551887		10.500000		80.000000
7400		-1126.749078		7.320000		62.000000
